id,area,source_ref,requirement,implementation_files,tests,acceptance_test,status,evidence_path,licence_impact,remaining_limitation
A-01,Knowledge graph foundation,mission.A.1,"Model sources, documents, chunks, claims, entities, relationships, events, citations, versions, timestamps, confidence, provenance, evidence links",src/dkg/core/migrations/001_baseline.sql,"tests/unit/test_schema.py, tests/integration/test_crud.py",pytest tests/integration/test_crud.py -q,PRODUCTION READY,test-evidence/rows/A-01.log,none,Cross platform locking behaviour under concurrent writers not benchmarked
A-02,Knowledge graph foundation,mission.A.2,SQLite local storage using parameterised queries,src/dkg/core/db.py,"tests/security/test_sql_injection.py, tests/integration/test_crud.py",pytest tests/security/test_sql_injection.py -q,PRODUCTION READY,test-evidence/rows/A-02.log,none,Fuzz corpus is limited
A-03,Knowledge graph foundation,mission.A.3,Full text search using SQLite FTS5,src/dkg/search/fts.py,tests/integration/test_search.py,pytest tests/integration/test_search.py -q,PRODUCTION READY,test-evidence/rows/A-03.log,none,FTS5 tokenizer choice documented but not tuned per language
A-04,Knowledge graph foundation,mission.A.4,Schema migration and rollback support,"src/dkg/core/db.py, src/dkg/core/migrations/",tests/integration/test_migrations.py,pytest tests/integration/test_migrations.py -q,PRODUCTION READY,test-evidence/rows/A-04.log,none,Rollback recorded as reverse-migration files not automatic column drops
A-05,Knowledge graph foundation,mission.A.5,Duplicate detection via content hashes and semantic similarity adapters,"src/dkg/ingest/chunker.py, src/dkg/extract/dedupe.py","tests/unit/test_dedupe.py, tests/integration/test_extraction_flow.py",pytest tests/integration/test_extraction_flow.py -q,PRODUCTION READY,test-evidence/rows/A-05.log,none,Semantic similarity requires an optional embedding adapter that is not bundled
A-06,Knowledge graph foundation,mission.A.6,Source change detection,src/dkg/ingest/base.py,tests/integration/test_source_versioning.py,pytest tests/integration/test_source_versioning.py -q,PRODUCTION READY,test-evidence/rows/A-06.log,none,Change diff is content-hash based not semantic
A-07,Knowledge graph foundation,mission.A.7,Entity resolution deterministic baseline,src/dkg/extract/entities.py,"tests/unit/test_entities.py, tests/integration/test_extraction_flow.py",pytest tests/integration/test_extraction_flow.py -q,PRODUCTION READY,test-evidence/rows/A-07.log,none,Rules cover people/organisation/URL/version patterns; multilingual not evaluated
A-08,Knowledge graph foundation,mission.A.8,Claim extraction with deterministic fallback,src/dkg/extract/claims.py,"tests/unit/test_claims.py, tests/integration/test_extraction_flow.py",pytest tests/integration/test_extraction_flow.py -q,PRODUCTION READY,test-evidence/rows/A-08.log,none,Deterministic only; LLM adapter interface is present but no model bundled
A-09,Knowledge graph foundation,mission.A.9,"Support, refute, uncertainty, contradiction relations",src/dkg/evidence/contradiction.py,"tests/unit/test_contradiction.py, tests/integration/test_extraction_flow.py",pytest tests/integration/test_extraction_flow.py -q,PRODUCTION READY,test-evidence/rows/A-09.log,none,Detection is lexical and structural not entailment based
A-10,Knowledge graph foundation,mission.A.10,Graph traversal and explainable results,src/dkg/graph/query.py,tests/integration/test_graph.py,pytest tests/integration/test_graph.py -q,PRODUCTION READY,test-evidence/rows/A-10.log,none,Traversal is BFS with bounded depth and node cap
A-11,Knowledge graph foundation,mission.A.11,"JSON, Markdown, CSV, GraphML, portable backup export","src/dkg/export/*, src/dkg/export/backup.py",tests/integration/test_export.py,pytest tests/integration/test_export.py -q,PRODUCTION READY,test-evidence/rows/A-11.log,none,GraphML uses a minimal subset; downstream tool compatibility not exhaustively tested
A-12,Knowledge graph foundation,mission.A.12,"Per record deletion, export, retention, audit","src/dkg/core/audit.py, src/dkg/cli/*",tests/integration/test_admin.py,pytest tests/integration/test_admin.py -q,PRODUCTION READY,test-evidence/rows/A-12.log,none,No time based retention scheduler; deletion is manual
B-01,Ingestion,mission.B.1,Local file ingestion for md/txt/html/json/csv/pdf/docx/structured,src/dkg/ingest/*,tests/integration/test_ingest.py,pytest tests/integration/test_ingest.py -q,PRODUCTION READY,test-evidence/rows/B-01.log,none,PDF and DOCX require optional extras; without them these formats are rejected with a clear error
B-02,Ingestion,mission.B.2,Safe archive inspection with decompression and size caps,src/dkg/ingest/archive.py,tests/security/test_archive_bomb.py,pytest tests/security/test_archive_bomb.py -q,PRODUCTION READY,test-evidence/rows/B-02.log,none,Only zip and tar handled; 7z not supported
B-03,Ingestion,mission.B.3,"Input hashing, source versioning, provenance envelope",src/dkg/core/provenance.py,tests/integration/test_source_versioning.py,pytest tests/integration/test_source_versioning.py -q,PRODUCTION READY,test-evidence/rows/B-03.log,none,SHA-256 baseline
B-04,Ingestion,mission.B.4,RSS and Atom parsing,src/dkg/ingest/rss.py,tests/integration/test_rss.py,pytest tests/integration/test_rss.py -q,PRODUCTION READY,test-evidence/rows/B-04.log,none,Requires the rss extra
B-05,Ingestion,mission.B.5,Safe webpage fetch with strict SSRF controls,"src/dkg/security/ssrf.py, src/dkg/ingest/web.py","tests/security/test_ssrf.py, tests/security/test_dns_rebind.py",pytest tests/security -q,PRODUCTION READY,test-evidence/rows/B-05.log,none,Requires the web extra; DNS rebinding test uses a stub resolver
B-06,Ingestion,mission.B.6,Local directory import with allowlists,src/dkg/ingest/base.py,tests/integration/test_directory_import.py,pytest tests/integration/test_directory_import.py -q,PRODUCTION READY,test-evidence/rows/B-06.log,none,Symlink policy is documented and enforced but only against a single allow-root
B-07,Ingestion,mission.B.7,"Batch ingest, resumable jobs, progress, errors",src/dkg/ingest/base.py,tests/integration/test_batch_ingest.py,pytest tests/integration/test_batch_ingest.py -q,PRODUCTION READY,test-evidence/rows/B-07.log,none,Progress is persisted per job in the audit log
